scan	aggressive	total_cancers	found_usual_care	found_intercepted	population	fp_rate	total_fp	ppv	scenario_zero	total_incidence	total_late_cancers_original	final_late_cancers	total_found_usual_care	total_found_intercepted	total_late_usual_care	total_late_pre_intercept	total_late_post_intercept	total_ied	final_ied	ied_found_usual_care	ied_found_pre_intercept	ied_found_post_intercept	total_unstaged	ied_unstaged
incident	AggFast	1186.9900000000005	874.9313511302195	312.05864886978037	100000	0.007	691.69107	0.3108928879413861	AggFast	1186.9900000000005	409.24276235920456	232.66064776010663	874.9313511302195	312.05864886978037	183.05837891356651	226.1843834456379	49.602268846540134	392.5155326535446	318.6847296469828	211.73979276055792	180.77573989298673	106.94493688642487	109.57	52.22932899999999
incident	Fast	1186.989999999999	815.5998710459533	371.3901289540462	100000	0.007	691.69107	0.34935255116867164	Fast	1186.989999999999	409.24276235920445	205.57114476543742	815.5998710459533	371.3901289540462	147.78696692551958	261.4557954336848	57.78417783991781	392.5155326535446	308.31306913978926	182.62413519596015	209.89139745758462	125.68893394382886	109.57	52.22932899999999
incident	MIS	1186.9899999999996	702.4526218915213	484.53737810847855	100000	0.007	691.69107	0.4119415568358977	MIS	1186.9899999999996	409.24276235920445	152.3519675008882	702.4526218915213	484.53737810847855	81.91621849576605	327.3265438634385	70.43574900512209	392.5155326535445	288.5866374842109	125.97804144780623	266.5374912057384	162.60859603640463	109.57	52.22932899999999
incident	Slow	1186.9899999999996	783.3569178892182	403.63308211078174	100000	0.007	691.69107	0.36850559839564107	Slow	1186.9899999999996	409.2427623592046	189.23904401660275	783.3569178892182	403.63308211078174	129.70756890669117	279.53519345251345	59.53147510991156	392.5155326535449	301.81095177074633	165.76837845764595	226.74715419589864	136.04257331310032	109.57	52.22932899999999
incident	VSlow	1186.9899999999998	766.1684507868711	420.8215492131287	100000	0.007	691.69107	0.3782622704188042	VSlow	1186.9899999999998	409.2427623592046	180.7051168267736	766.1684507868711	420.8215492131287	119.86425716222868	289.3785051969759	60.84085966454488	392.5155326535448	298.63929220483635	157.01389524405084	235.50163740949387	141.62539696078562	109.57	52.22932899999999
no	MIS	1186.99	1186.99	0	100000	0.007	0	NA	No MCED	1186.99	409.24276235920445	409.24276235920445	1186.99	0	409.24276235920445	0	0	392.5155326535446	392.5155326535446	392.5155326535446	0	0	109.57	52.22932899999999
prevalent	AggFast	1500.3499870235312	874.9313511302195	625.4186358933124	100000	0.007	689.4975500908354	0.4756338408179365	AggFast	1500.3499870235312	667.8770717482034	318.15895919221106	874.9313511302195	625.4186358933124	183.05837891356651	484.818692834637	135.10058027864454	583.2882987855982	431.3926508528347	211.73979276055792	371.54850602504035	219.65285809227683	109.57	52.22932899999999
prevalent	Fast	1970.271868921689	815.5998710459533	1154.6719978757346	100000	0.007	686.2080969175482	0.6272391130425015	Fast	1970.271868921689	1032.6290720851387	387.9230613080047	815.5998710459533	1154.6719978757346	147.78696692551958	884.8421051596191	240.1360943824852	831.1545946917413	567.0058288278341	182.62413519596015	648.5304594957814	384.3816936318738	109.57	52.22932899999999
prevalent	Slow	2572.0877030423158	783.3569178892182	1788.730785153098	100000	0.007	681.9953860787039	0.7239696596006472	Slow	2572.0877030423158	1471.0273752326734	449.2903920494879	783.3569178892182	1788.730785153098	129.70756890669117	1341.3198063259829	319.58282314279654	1180.7731067256454	760.0546743759647	165.76837845764595	1015.0047282679992	594.2862959183187	109.57	52.22932899999999
prevalent	VSlow	3183.1968322173566	766.1684507868711	2417.0283814304835	100000	0.007	677.7176221744785	0.7810102601683535	VSlow	3183.1968322173566	1912.4800500547533	516.7965860444099	766.1684507868711	2417.0283814304835	119.86425716222868	1792.615792892525	396.9323288821809	1534.970770522881	958.7484728560776	157.01389524405084	1377.9568752788318	801.7345776120269	109.57	52.22932899999999
